State,Petrol_Rate,Diesel_Rate,Date
Himachal Pradesh,94.42,79.32,2021-11-19
Jammu And Kashmir,100.1,83.71,2021-11-19
Jharkhand,99.08,92.11,2021-11-19
Karnataka,101.21,85.61,2021-11-19
Kerala,105.06,92.25,2021-11-19
Madhya Pradesh,108.06,91.65,2021-11-19
Maharashtra,110.24,93.02,2021-11-19
Manipur,99.77,84.21,2021-11-19
Meghalaya,93.09,80.07,2021-11-19
Mizoram,94.5,79.55,2021-11-19
Nagaland,96.92,83.68,2021-11-19
Odisha,104.05,93.78,2021-11-19
Pondicherry,94.65,83.34,2021-11-19
Punjab,95.65,84.44,2021-11-19
Rajasthan,106.92,90.57,2021-11-19
Sikkim,98.5,83.55,2021-11-19
Tamil Nadu,102.33,92.37,2021-11-19
Telangana,110.8,97.04,2021-11-19
Tripura,97.37,84.81,2021-11-19
Uttar Pradesh,95.05,86.56,2021-11-19
Uttarakhand,94.09,87.52,2021-11-19
West Bengal,105.47,90.52,2021-11-19
Andaman And Nicobar,82.96,77.13,2021-11-23
Andhra Pradesh,110.46,96.54,2021-11-23
Arunachal Pradesh,94.38,81.85,2021-11-23
Assam,95.26,81.8,2021-11-23
Bihar,107.53,92.6,2021-11-23
Chandigarh,94.23,80.9,2021-11-23
Chhatisgarh,103.0,94.88,2021-11-23
Dadra And Nagar Haveli,93.21,87.09,2021-11-23
Daman And Diu,93.1,86.97,2021-11-23
Delhi,103.97,86.67,2021-11-23
Goa,96.22,87.11,2021-11-23
Gujarat,95.27,89.25,2021-11-23
Haryana,95.3,86.53,2021-11-23
Himachal Pradesh,94.47,79.36,2021-11-23
Jammu And Kashmir,99.41,83.14,2021-11-23
Jharkhand,98.59,91.62,2021-11-23
Karnataka,101.22,85.61,2021-11-23
Kerala,105.33,92.51,2021-11-23
Madhya Pradesh,108.64,92.18,2021-11-23
Maharashtra,109.67,92.46,2021-11-23
Manipur,99.87,84.3,2021-11-23
Meghalaya,93.93,80.78,2021-11-23
Mizoram,94.5,79.55,2021-11-23
Nagaland,97.01,83.77,2021-11-23
Odisha,103.28,93.03,2021-11-23
Pondicherry,94.69,83.39,2021-11-23
Punjab,95.24,84.05,2021-11-23
Rajasthan,107.03,90.67,2021-11-23
Sikkim,98.5,83.55,2021-11-23
Tamil Nadu,102.41,92.45,2021-11-23
Telangana,110.51,96.77,2021-11-23
Tripura,97.71,85.13,2021-11-23
Uttar Pradesh,95.22,86.72,2021-11-23
Uttarakhand,94.26,87.49,2021-11-23
West Bengal,105.21,90.28,2021-11-23
Andaman And Nicobar,82.96,77.13,2021-11-24
Andhra Pradesh,109.74,95.87,2021-11-24
Arunachal Pradesh,94.66,82.12,2021-11-24
Assam,94.95,81.57,2021-11-24
Bihar,108.4,93.41,2021-11-24
Chandigarh,94.23,80.9,2021-11-24
Chhatisgarh,101.83,93.04,2021-11-24
Dadra And Nagar Haveli,93.21,87.09,2021-11-24
Daman And Diu,93.02,86.9,2021-11-24
Delhi,103.97,86.67,2021-11-24
Goa,96.8,87.68,2021-11-24
Gujarat,95.0,88.98,2021-11-24
Haryana,95.39,86.61,2021-11-24
Himachal Pradesh,94.47,79.36,2021-11-24
Jammu And Kashmir,99.41,83.14,2021-11-24
Jharkhand,98.72,91.75,2021-11-24
Karnataka,101.19,85.59,2021-11-24
Kerala,105.06,92.25,2021-11-24
Madhya Pradesh,108.64,92.18,2021-11-24
Maharashtra,110.17,92.94,2021-11-24
Manipur,99.87,84.3,2021-11-24
Meghalaya,93.09,80.07,2021-11-24
Mizoram,94.5,79.55,2021-11-24
Nagaland,97.01,83.77,2021-11-24
Odisha,103.28,93.03,2021-11-24
Pondicherry,94.69,83.39,2021-11-24
Punjab,95.24,84.05,2021-11-24
Rajasthan,107.03,90.67,2021-11-24
Sikkim,98.5,83.55,2021-11-24
Tamil Nadu,102.41,92.45,2021-11-24
Telangana,110.51,96.77,2021-11-24
Tripura,97.71,85.13,2021-11-24
Uttar Pradesh,95.22,86.72,2021-11-24
Uttarakhand,94.26,87.49,2021-11-24
West Bengal,105.21,90.28,2021-11-24
Andaman And Nicobar,82.96,77.13,2021-11-29
Andhra Pradesh,109.43,95.58,2021-11-29
Arunachal Pradesh,94.66,82.12,2021-11-29
Assam,94.92,81.54,2021-11-29
Bihar,108.01,93.04,2021-11-29
Chandigarh,94.23,80.9,2021-11-29
Chhatisgarh,101.65,92.86,2021-11-29
Dadra And Nagar Haveli,93.38,87.25,2021-11-29
Daman And Diu,93.1,86.97,2021-11-29
Delhi,103.97,86.67,2021-11-29
Goa,96.53,87.42,2021-11-29
Gujarat,95.22,89.2,2021-11-29
Haryana,95.27,86.51,2021-11-29
Himachal Pradesh,94.66,79.52,2021-11-29
Jammu And Kashmir,100.1,83.71,2021-11-29
Jharkhand,99.08,92.11,2021-11-29
Karnataka,101.08,85.49,2021-11-29
Kerala,105.17,92.36,2021-11-29
Madhya Pradesh,108.33,91.89,2021-11-29
Maharashtra,110.24,93.02,2021-11-29
Manipur,99.77,84.21,2021-11-29
Meghalaya,93.09,80.07,2021-11-29
Mizoram,94.26,79.33,2021-11-29
Nagaland,96.92,83.68,2021-11-29
Odisha,103.19,92.95,2021-11-29
Pondicherry,94.65,83.34,2021-11-29
Punjab,95.67,84.46,2021-11-29
Rajasthan,106.92,90.57,2021-11-29
Sikkim,98.5,83.55,2021-11-29
Tamil Nadu,102.41,92.45,2021-11-29
Telangana,110.8,97.04,2021-11-29
Tripura,97.37,84.81,2021-11-29
Uttar Pradesh,95.49,86.98,2021-11-29
Uttarakhand,94.09,87.52,2021-11-29
West Bengal,106.19,91.19,2021-11-29
Andaman And Nicobar,82.96,77.13,2021-12-01
Andhra Pradesh,110.25,96.35,2021-12-01
Arunachal Pradesh,94.64,82.1,2021-12-01
Assam,94.92,81.54,2021-12-01
Bihar,108.01,93.04,2021-12-01
Chandigarh,94.23,80.9,2021-12-01
Chhatisgarh,101.76,92.97,2021-12-01
Dadra And Nagar Haveli,93.38,87.25,2021-12-01
Daman And Diu,93.1,86.97,2021-12-01
Delhi,103.97,86.67,2021-12-01
Goa,96.23,87.12,2021-12-01
Gujarat,95.13,89.12,2021-12-01
Haryana,95.3,86.53,2021-12-01
Himachal Pradesh,94.77,79.59,2021-12-01
Jammu And Kashmir,99.59,83.31,2021-12-01
Jharkhand,98.86,91.88,2021-12-01
Karnataka,101.5,85.87,2021-12-01
Kerala,104.67,91.89,2021-12-01
Madhya Pradesh,108.63,92.17,2021-12-01
Maharashtra,110.18,92.96,2021-12-01
Manipur,99.87,84.3,2021-12-01
Meghalaya,93.93,80.78,2021-12-01
Mizoram,94.5,79.55,2021-12-01
Nagaland,96.92,83.68,2021-12-01
Odisha,103.27,93.05,2021-12-01
Pondicherry,94.69,83.39,2021-12-01
Punjab,95.48,84.28,2021-12-01
Rajasthan,107.28,90.9,2021-12-01
Sikkim,98.5,83.55,2021-12-01
Tamil Nadu,102.27,92.31,2021-12-01
Telangana,109.99,96.28,2021-12-01
Tripura,97.89,85.29,2021-12-01
Uttar Pradesh,95.43,86.93,2021-12-01
Uttarakhand,94.26,87.49,2021-12-01
West Bengal,105.49,90.53,2021-12-01
Andaman And Nicobar,82.96,77.13,2021-12-02
Andhra Pradesh,110.25,96.35,2021-12-02
Arunachal Pradesh,94.38,81.85,2021-12-02
Assam,95.26,81.8,2021-12-02
Bihar,107.97,93.0,2021-12-02
Chandigarh,94.23,80.9,2021-12-02
Chhatisgarh,101.92,93.13,2021-12-02
Dadra And Nagar Haveli,93.21,87.09,2021-12-02
Daman And Diu,93.1,86.97,2021-12-02
Delhi,95.41,86.67,2021-12-02
Goa,96.35,87.24,2021-12-02
Gujarat,95.13,89.12,2021-12-02
Haryana,95.27,86.5,2021-12-02
Himachal Pradesh,94.3,79.22,2021-12-02
Jammu And Kashmir,99.41,83.14,2021-12-02
Jharkhand,99.43,92.45,2021-12-02
Karnataka,100.85,85.28,2021-12-02
Kerala,105.33,92.51,2021-12-02
Madhya Pradesh,108.33,91.89,2021-12-02
Maharashtra,109.75,92.54,2021-12-02
Manipur,99.77,84.21,2021-12-02
Meghalaya,93.09,80.07,2021-12-02
Mizoram,94.5,79.55,2021-12-02
Nagaland,96.92,83.68,2021-12-02
Odisha,103.23,92.99,2021-12-02
Pondicherry,94.69,83.39,2021-12-02
Punjab,95.15,83.96,2021-12-02
Rajasthan,106.64,90.32,2021-12-02
Sikkim,98.5,83.55,2021-12-02
Tamil Nadu,102.41,92.45,2021-12-02
Telangana,110.58,96.84,2021-12-02
Tripura,97.89,85.29,2021-12-02
Uttar Pradesh,95.08,86.59,2021-12-02
Uttarakhand,94.09,87.52,2021-12-02
West Bengal,105.5,90.54,2021-12-02
Andaman And Nicobar,82.96,77.13,2021-12-03
Andhra Pradesh,110.25,96.35,2021-12-03
Arunachal Pradesh,94.38,81.85,2021-12-03
Assam,95.26,81.8,2021-12-03
Bihar,107.97,93.0,2021-12-03
Chandigarh,94.23,80.9,2021-12-03
Chhatisgarh,101.92,93.13,2021-12-03
Dadra And Nagar Haveli,93.21,87.09,2021-12-03
Daman And Diu,93.1,86.97,2021-12-03
Delhi,95.41,86.67,2021-12-03
Goa,96.35,87.24,2021-12-03
Gujarat,95.13,89.12,2021-12-03
Haryana,95.27,86.5,2021-12-03
Himachal Pradesh,94.3,79.22,2021-12-03
Jammu And Kashmir,99.41,83.14,2021-12-03
Jharkhand,99.43,92.45,2021-12-03
Karnataka,100.85,85.28,2021-12-03
Kerala,105.33,92.51,2021-12-03
Madhya Pradesh,108.33,91.89,2021-12-03
Maharashtra,109.75,92.54,2021-12-03
Manipur,99.77,84.21,2021-12-03
Meghalaya,93.09,80.07,2021-12-03
Mizoram,94.5,79.55,2021-12-03
Nagaland,96.92,83.68,2021-12-03
Odisha,103.23,92.99,2021-12-03
Pondicherry,94.69,83.39,2021-12-03
Punjab,95.15,83.96,2021-12-03
Rajasthan,106.64,90.32,2021-12-03
Sikkim,98.5,83.55,2021-12-03
Tamil Nadu,102.41,92.45,2021-12-03
Telangana,110.58,96.84,2021-12-03
Tripura,97.89,85.29,2021-12-03
Uttar Pradesh,95.08,86.59,2021-12-03
Uttarakhand,94.09,87.52,2021-12-03
West Bengal,105.5,90.54,2021-12-03
Andaman And Nicobar,82.96,77.13,2021-12-06
Andhra Pradesh,110.1,96.21,2021-12-06
Arunachal Pradesh,94.64,82.1,2021-12-06
Assam,95.26,81.8,2021-12-06
Bihar,108.49,93.49,2021-12-06
Chandigarh,94.23,80.9,2021-12-06
Chhatisgarh,101.76,92.97,2021-12-06
Dadra And Nagar Haveli,93.21,87.09,2021-12-06
Daman And Diu,93.02,86.9,2021-12-06
Delhi,95.41,86.67,2021-12-06
Goa,96.41,87.3,2021-12-06
Gujarat,95.31,89.3,2021-12-06
Haryana,95.41,86.63,2021-12-06
Himachal Pradesh,94.47,79.36,2021-12-06
Jammu And Kashmir,99.54,83.26,2021-12-06
Jharkhand,99.43,92.45,2021-12-06
Karnataka,101.08,85.49,2021-12-06
Kerala,105.06,92.25,2021-12-06
Madhya Pradesh,108.18,91.74,2021-12-06
Maharashtra,109.59,92.39,2021-12-06
Manipur,99.87,84.3,2021-12-06
Meghalaya,93.93,80.78,2021-12-06
Mizoram,94.5,79.55,2021-12-06
Nagaland,96.92,83.68,2021-12-06
Odisha,102.89,92.66,2021-12-06
Pondicherry,94.69,83.39,2021-12-06
Punjab,95.53,84.33,2021-12-06
Rajasthan,106.64,90.32,2021-12-06
Sikkim,98.5,83.55,2021-12-06
Tamil Nadu,102.67,92.71,2021-12-06
Telangana,110.8,97.04,2021-12-06
Tripura,97.37,84.81,2021-12-06
Uttar Pradesh,95.49,86.98,2021-12-06
Uttarakhand,94.26,87.49,2021-12-06
West Bengal,105.93,90.95,2021-12-06
Andaman And Nicobar,82.96,77.13,2021-12-22
Andhra Pradesh,110.61,96.65,2021-12-22
Arunachal Pradesh,94.64,82.1,2021-12-22
Assam,94.92,81.54,2021-12-22
Bihar,107.53,92.6,2021-12-22
Chandigarh,94.23,80.9,2021-12-22
Chhatisgarh,102.27,93.48,2021-12-22
Dadra And Nagar Haveli,93.21,87.09,2021-12-22
Daman And Diu,93.1,86.97,2021-12-22
Delhi,95.41,86.67,2021-12-22
Goa,96.45,87.34,2021-12-22
Gujarat,95.13,89.12,2021-12-22
Haryana,95.36,86.58,2021-12-22
Himachal Pradesh,93.83,78.8,2021-12-22
Jammu And Kashmir,99.41,83.14,2021-12-22
Jharkhand,98.59,91.62,2021-12-22
Karnataka,101.08,85.49,2021-12-22
Kerala,104.78,91.99,2021-12-22
Madhya Pradesh,108.24,91.82,2021-12-22
Maharashtra,110.08,92.86,2021-12-22
Manipur,99.77,84.21,2021-12-22
Meghalaya,93.93,80.78,2021-12-22
Mizoram,94.5,79.55,2021-12-22
Nagaland,100.47,86.88,2021-12-22
Odisha,103.27,93.05,2021-12-22
Pondicherry,94.65,83.34,2021-12-22
Punjab,95.63,84.42,2021-12-22
Rajasthan,106.95,90.6,2021-12-22
Sikkim,98.5,83.55,2021-12-22
Tamil Nadu,102.67,92.71,2021-12-22
Telangana,109.99,96.28,2021-12-22
Tripura,97.37,84.81,2021-12-22
Uttar Pradesh,95.19,86.69,2021-12-22
Uttarakhand,94.26,87.49,2021-12-22
West Bengal,105.93,90.95,2021-12-22
Andaman And Nicobar,82.96,77.13,2021-12-29
Andhra Pradesh,110.0,96.11,2021-12-29
Arunachal Pradesh,94.38,81.85,2021-12-29
Assam,94.95,81.57,2021-12-29
Bihar,107.53,92.6,2021-12-29
Chandigarh,94.23,80.9,2021-12-29
Chhatisgarh,102.27,93.48,2021-12-29
Dadra And Nagar Haveli,93.21,87.09,2021-12-29
Daman And Diu,93.02,86.9,2021-12-29
Delhi,95.41,86.67,2021-12-29
Goa,96.55,87.43,2021-12-29
Gujarat,95.85,89.84,2021-12-29
Haryana,95.27,86.51,2021-12-29
Himachal Pradesh,94.47,79.36,2021-12-29
Jammu And Kashmir,99.32,83.07,2021-12-29
Jharkhand,98.59,91.62,2021-12-29
Karnataka,100.98,85.4,2021-12-29
Kerala,104.57,91.8,2021-12-29
Madhya Pradesh,108.24,91.82,2021-12-29
Maharashtra,110.45,93.22,2021-12-29
Manipur,99.77,84.21,2021-12-29
Meghalaya,93.93,80.78,2021-12-29
Mizoram,94.5,79.55,2021-12-29
Nagaland,96.92,83.68,2021-12-29
Odisha,103.57,93.32,2021-12-29
Pondicherry,94.69,83.39,2021-12-29
Punjab,95.65,84.44,2021-12-29
Rajasthan,107.09,90.72,2021-12-29
Sikkim,98.5,83.55,2021-12-29
Tamil Nadu,102.67,92.71,2021-12-29
Telangana,109.99,96.28,2021-12-29
Tripura,97.71,85.13,2021-12-29
Uttar Pradesh,95.43,86.93,2021-12-29
Uttarakhand,94.26,87.49,2021-12-29
West Bengal,105.93,90.95,2021-12-29
Andaman And Nicobar,82.96,77.13,2022-01-04
Andhra Pradesh,110.33,96.42,2022-01-04
Arunachal Pradesh,94.64,82.1,2022-01-04
Assam,94.92,81.54,2022-01-04
Bihar,107.9,92.94,2022-01-04
Chandigarh,94.23,80.9,2022-01-04
Chhatisgarh,102.27,93.48,2022-01-04
Dadra And Nagar Haveli,93.21,87.09,2022-01-04
Daman And Diu,93.1,86.97,2022-01-04
Delhi,95.41,86.67,2022-01-04
Goa,96.45,87.34,2022-01-04
Gujarat,95.13,89.12,2022-01-04
Haryana,95.47,86.69,2022-01-04
Himachal Pradesh,94.66,79.52,2022-01-04
Jammu And Kashmir,99.46,83.19,2022-01-04
Jharkhand,98.56,91.59,2022-01-04
Karnataka,101.1,85.51,2022-01-04
Kerala,105.08,92.27,2022-01-04
Madhya Pradesh,108.33,91.89,2022-01-04
Maharashtra,110.14,92.9,2022-01-04
Manipur,99.87,84.3,2022-01-04
Meghalaya,93.93,80.78,2022-01-04
Mizoram,94.5,79.55,2022-01-04
Nagaland,96.92,83.68,2022-01-04
Odisha,103.54,93.28,2022-01-04
Pondicherry,94.69,83.39,2022-01-04
Punjab,95.63,84.42,2022-01-04
Rajasthan,107.2,90.83,2022-01-04
Sikkim,98.5,83.55,2022-01-04
Tamil Nadu,102.67,92.71,2022-01-04
Telangana,110.58,96.84,2022-01-04
Tripura,97.37,84.81,2022-01-04
Uttar Pradesh,95.35,86.85,2022-01-04
Uttarakhand,94.26,87.54,2022-01-04
West Bengal,105.47,90.52,2022-01-04
Andaman And Nicobar,82.96,77.13,2022-01-18
Andhra Pradesh,110.61,96.65,2022-01-18
Arunachal Pradesh,94.64,82.1,2022-01-18
Assam,94.92,81.54,2022-01-18
Bihar,107.97,93.0,2022-01-18
Chandigarh,94.23,80.9,2022-01-18
Chhatisgarh,102.27,93.48,2022-01-18
Dadra And Nagar Haveli,93.21,87.09,2022-01-18
Daman And Diu,93.1,86.97,2022-01-18
Delhi,95.41,86.67,2022-01-18
Goa,96.45,87.34,2022-01-18
Gujarat,95.13,89.12,2022-01-18
Haryana,95.36,86.58,2022-01-18
Himachal Pradesh,93.83,78.8,2022-01-18
Jammu And Kashmir,99.59,83.31,2022-01-18
Jharkhand,98.59,91.62,2022-01-18
Karnataka,101.26,85.65,2022-01-18
Kerala,105.17,92.36,2022-01-18
Madhya Pradesh,108.33,91.89,2022-01-18
Maharashtra,110.12,92.9,2022-01-18
Manipur,99.77,84.21,2022-01-18
Meghalaya,93.93,80.78,2022-01-18
Mizoram,94.5,79.55,2022-01-18
Nagaland,96.92,83.68,2022-01-18
Odisha,103.38,93.13,2022-01-18
Pondicherry,94.69,83.39,2022-01-18
Punjab,95.63,84.42,2022-01-18
Rajasthan,106.8,90.46,2022-01-18
Sikkim,98.5,83.55,2022-01-18
Tamil Nadu,102.67,92.71,2022-01-18
Telangana,109.99,96.28,2022-01-18
Tripura,97.71,85.13,2022-01-18
Uttar Pradesh,95.35,86.85,2022-01-18
Uttarakhand,94.26,87.49,2022-01-18
West Bengal,105.53,90.57,2022-01-18
Andaman And Nicobar,82.96,77.13,2022-01-27
Andhra Pradesh,110.61,96.65,2022-01-27
Arunachal Pradesh,94.64,82.1,2022-01-27
Assam,94.92,81.54,2022-01-27
Bihar,107.97,93.0,2022-01-27
Chandigarh,94.23,80.9,2022-01-27
Chhatisgarh,102.27,93.48,2022-01-27
Dadra And Nagar Haveli,93.21,87.09,2022-01-27
Daman And Diu,93.1,86.97,2022-01-27
Delhi,95.41,86.67,2022-01-27
Goa,96.45,87.34,2022-01-27
Gujarat,95.13,89.12,2022-01-27
Haryana,95.65,86.86,2022-01-27
Himachal Pradesh,94.38,79.28,2022-01-27
Jammu And Kashmir,99.59,83.31,2022-01-27
Jharkhand,98.86,91.88,2022-01-27
Karnataka,101.26,85.65,2022-01-27
Kerala,104.78,91.99,2022-01-27
Madhya Pradesh,108.18,91.74,2022-01-27
Maharashtra,110.09,92.86,2022-01-27
Manipur,99.77,84.21,2022-01-27
Meghalaya,93.93,80.78,2022-01-27
Mizoram,94.5,79.55,2022-01-27
Nagaland,96.92,83.68,2022-01-27
Odisha,103.46,93.23,2022-01-27
Pondicherry,94.69,83.39,2022-01-27
Punjab,95.67,84.46,2022-01-27
Rajasthan,106.67,90.35,2022-01-27
Sikkim,98.5,83.55,2022-01-27
Tamil Nadu,102.41,92.45,2022-01-27
Telangana,110.8,97.04,2022-01-27
Tripura,97.71,85.13,2022-01-27
Uttar Pradesh,94.98,86.49,2022-01-27
Uttarakhand,94.26,87.49,2022-01-27
West Bengal,105.93,90.95,2022-01-27
Andaman And Nicobar,82.96,77.13,2022-02-13
Andhra Pradesh,110.49,96.57,2022-02-13
Arunachal Pradesh,94.66,82.12,2022-02-13
Assam,94.95,81.57,2022-02-13
Bihar,107.97,93.0,2022-02-13
Chandigarh,94.23,80.9,2022-02-13
Chhatisgarh,102.27,93.48,2022-02-13
Dadra And Nagar Haveli,93.21,87.09,2022-02-13
Daman And Diu,93.02,86.9,2022-02-13
Delhi,95.41,86.67,2022-02-13
Goa,96.55,87.43,2022-02-13
Gujarat,94.92,88.9,2022-02-13
Haryana,95.3,86.53,2022-02-13
Himachal Pradesh,94.66,79.52,2022-02-13
Jammu And Kashmir,100.1,83.71,2022-02-13
Jharkhand,98.86,91.88,2022-02-13
Karnataka,101.08,85.49,2022-02-13
Kerala,104.34,91.58,2022-02-13
Madhya Pradesh,108.33,91.89,2022-02-13
Maharashtra,110.56,93.31,2022-02-13
Manipur,99.87,84.3,2022-02-13
Meghalaya,93.93,80.78,2022-02-13
Mizoram,94.5,79.55,2022-02-13
Nagaland,96.92,83.68,2022-02-13
Odisha,103.13,92.9,2022-02-13
Pondicherry,94.69,83.39,2022-02-13
Punjab,95.53,84.33,2022-02-13
Rajasthan,107.7,91.28,2022-02-13
Sikkim,98.5,83.55,2022-02-13
Tamil Nadu,102.67,92.71,2022-02-13
Telangana,110.58,96.84,2022-02-13
Tripura,97.37,84.81,2022-02-13
Uttar Pradesh,95.22,86.72,2022-02-13
Uttarakhand,94.26,87.54,2022-02-13
West Bengal,105.93,90.95,2022-02-13
Andaman And Nicobar,82.96,77.13,2022-02-19
Andhra Pradesh,110.46,96.54,2022-02-19
Arunachal Pradesh,94.38,81.85,2022-02-19
Assam,94.92,81.54,2022-02-19
Bihar,107.53,92.6,2022-02-19
Chandigarh,94.23,80.9,2022-02-19
Chhatisgarh,101.76,92.97,2022-02-19
Dadra And Nagar Haveli,93.21,87.09,2022-02-19
Daman And Diu,93.02,86.9,2022-02-19
Delhi,95.41,86.67,2022-02-19
Goa,96.61,87.49,2022-02-19
Gujarat,95.35,89.33,2022-02-19
Haryana,95.36,86.58,2022-02-19
Himachal Pradesh,93.83,78.8,2022-02-19
Jammu And Kashmir,99.41,83.14,2022-02-19
Jharkhand,98.86,91.88,2022-02-19
Karnataka,101.33,85.71,2022-02-19
Kerala,104.78,91.99,2022-02-19
Madhya Pradesh,108.19,91.77,2022-02-19
Maharashtra,110.08,92.86,2022-02-19
Manipur,99.87,84.3,2022-02-19
Meghalaya,93.93,80.78,2022-02-19
Mizoram,94.5,79.55,2022-02-19
Nagaland,96.92,83.68,2022-02-19
Odisha,103.73,93.47,2022-02-19
Pondicherry,94.65,83.34,2022-02-19
Punjab,95.65,84.44,2022-02-19
Rajasthan,107.7,91.28,2022-02-19
Sikkim,98.5,83.55,2022-02-19
Tamil Nadu,102.41,92.45,2022-02-19
Telangana,110.51,96.77,2022-02-19
Tripura,97.01,84.48,2022-02-19
Uttar Pradesh,95.1,86.61,2022-02-19
Uttarakhand,94.26,87.49,2022-02-19
West Bengal,105.81,90.83,2022-02-19
Andaman And Nicobar,82.96,77.13,2022-02-27
Andhra Pradesh,110.33,96.42,2022-02-27
Arunachal Pradesh,94.8,82.21,2022-02-27
Assam,95.33,81.85,2022-02-27
Bihar,107.88,92.92,2022-02-27
Chandigarh,94.23,80.9,2022-02-27
Chhatisgarh,101.85,93.06,2022-02-27
Dadra And Nagar Haveli,93.38,87.25,2022-02-27
Daman And Diu,93.02,86.9,2022-02-27
Delhi,95.41,86.67,2022-02-27
Goa,96.61,87.49,2022-02-27
Gujarat,95.13,89.12,2022-02-27
Haryana,95.35,86.57,2022-02-27
Himachal Pradesh,94.38,79.28,2022-02-27
Jammu And Kashmir,99.33,83.07,2022-02-27
Jharkhand,98.59,91.62,2022-02-27
Karnataka,100.91,85.34,2022-02-27
Kerala,104.34,91.58,2022-02-27
Madhya Pradesh,108.18,91.74,2022-02-27
Maharashtra,109.85,92.64,2022-02-27
Manipur,99.87,84.3,2022-02-27
Meghalaya,93.93,80.78,2022-02-27
Mizoram,94.09,79.18,2022-02-27
Nagaland,96.92,83.68,2022-02-27
Odisha,103.28,93.03,2022-02-27
Pondicherry,94.69,83.39,2022-02-27
Punjab,95.67,84.46,2022-02-27
Rajasthan,106.97,90.61,2022-02-27
Sikkim,98.5,83.55,2022-02-27
Tamil Nadu,102.41,92.45,2022-02-27
Telangana,110.58,96.84,2022-02-27
Tripura,97.01,84.48,2022-02-27
Uttar Pradesh,95.52,87.01,2022-02-27
Uttarakhand,94.26,87.49,2022-02-27
West Bengal,105.81,90.83,2022-02-27
